system:time_start,SPI (16 days)
"Feb 18, 2000",-0.795
"Mar 5, 2000",-1.074
"Mar 21, 2000",0.888
"Apr 6, 2000",0.512
"Apr 22, 2000",2.436
"May 8, 2000",-0.576
"May 24, 2000",1.507
"Jun 9, 2000",0.308
"Jun 25, 2000",-0.689
"Jul 11, 2000",-0.986
"Jul 27, 2000",1.983
"Aug 12, 2000",-0.329
"Aug 28, 2000",-0.91
"Sep 13, 2000",0.077
"Sep 29, 2000",0.039
"Oct 15, 2000",0.703
"Oct 31, 2000",1.345
"Nov 16, 2000",0.31
"Dec 2, 2000",-1.151
"Dec 18, 2000",-0.338
"Jan 1, 2001",1.148
"Jan 17, 2001",1.964
"Feb 2, 2001",0.498
"Feb 18, 2001",-1.239
"Mar 6, 2001",0.107
"Mar 22, 2001",1.743
"Apr 7, 2001",1.899
"Apr 23, 2001",-0.867
"May 9, 2001",-0.163
"May 25, 2001",1.542
"Jun 10, 2001",-0.053
"Jun 26, 2001",-0.801
"Jul 12, 2001",0.101
"Jul 28, 2001",-0.81
"Aug 13, 2001",-0.838
"Aug 29, 2001",0.859
"Sep 14, 2001",0.057
"Sep 30, 2001",1.043
"Oct 16, 2001",2.348
"Nov 1, 2001",0.221
"Nov 17, 2001",1.233
"Dec 3, 2001",-0.824
"Dec 19, 2001",-0.787
"Jan 1, 2002",-0.327
"Jan 17, 2002",1.858
"Feb 2, 2002",-0.797
"Feb 18, 2002",-0.68
"Mar 6, 2002",-0.489
"Mar 22, 2002",0.215
"Apr 7, 2002",-1.228
"Apr 23, 2002",-1.428
"May 9, 2002",-0.033
"May 25, 2002",-1.08
"Jun 10, 2002",-0.635
"Jun 26, 2002",-0.671
"Jul 12, 2002",0.682
"Jul 28, 2002",0.172
"Aug 13, 2002",-0.478
"Aug 29, 2002",-0.931
"Sep 14, 2002",-0.516
"Sep 30, 2002",-1.023
"Oct 16, 2002",-1.237
"Nov 1, 2002",-0.873
"Nov 17, 2002",-0.112
"Dec 3, 2002",-0.95
"Dec 19, 2002",-0.251
"Jan 1, 2003",-1.808
"Jan 17, 2003",-0.512
"Feb 2, 2003",0.807
"Feb 18, 2003",-0.508
"Mar 6, 2003",-1.551
"Mar 22, 2003",-2.158
"Apr 7, 2003",-1.985
"Apr 23, 2003",-0.712
"May 9, 2003",-1.179
"May 25, 2003",-0.537
"Jun 10, 2003",-0.788
"Jun 26, 2003",-0.987
"Jul 12, 2003",-0.688
"Jul 28, 2003",-0.838
"Aug 13, 2003",0.36
"Aug 29, 2003",-0.198
"Sep 14, 2003",-0.125
"Sep 30, 2003",0.731
"Oct 16, 2003",0.474
"Nov 1, 2003",-0.371
"Nov 17, 2003",0.338
"Dec 3, 2003",-0.005
"Dec 19, 2003",-0.441
"Jan 1, 2004",0.834
"Jan 17, 2004",0.19
"Feb 2, 2004",-0.354
"Feb 18, 2004",0.321
"Mar 5, 2004",0.45
"Mar 21, 2004",-0.408
"Apr 6, 2004",-0.125
"Apr 22, 2004",0.429
"May 8, 2004",-0.298
"May 24, 2004",0.325
"Jun 9, 2004",0.278
"Jun 25, 2004",-0.427
"Jul 11, 2004",0.275
"Jul 27, 2004",-0.653
"Aug 12, 2004",-0.202
"Aug 28, 2004",-0.516
"Sep 13, 2004",0.039
"Sep 29, 2004",-0.76
"Oct 15, 2004",-1.064
"Oct 31, 2004",-1.153
"Nov 16, 2004",-0.372
"Dec 2, 2004",-0.33
"Dec 18, 2004",1.356
"Jan 1, 2005",0.082
"Jan 17, 2005",-0.778
"Feb 2, 2005",-0.737
"Feb 18, 2005",1.972
"Mar 6, 2005",-2.093
"Mar 22, 2005",1.67
"Apr 7, 2005",-0.466
"Apr 23, 2005",-0.746
"May 9, 2005",-0.771
"May 25, 2005",-1.032
"Jun 10, 2005",2.213
"Jun 26, 2005",0.207
"Jul 12, 2005",-0.032
"Jul 28, 2005",2.85
"Aug 13, 2005",-0.838
"Aug 29, 2005",-0.931
"Sep 14, 2005",0.524
"Sep 30, 2005",-0.168
"Oct 16, 2005",0.437
"Nov 1, 2005",-0.846
"Nov 17, 2005",0.181
"Dec 3, 2005",-0.097
"Dec 19, 2005",1.108
"Jan 1, 2006",0.679
"Jan 17, 2006",0.76
"Feb 2, 2006",-0.832
"Feb 18, 2006",0.574
"Mar 6, 2006",0.607
"Mar 22, 2006",0.263
"Apr 7, 2006",0.28
"Apr 23, 2006",-0.096
"May 9, 2006",-0.32
"May 25, 2006",0.832
"Jun 10, 2006",-1.223
"Jun 26, 2006",-0.989
"Jul 12, 2006",-0.351
"Jul 28, 2006",-0.594
"Aug 13, 2006",-0.652
"Aug 29, 2006",-0.512
"Sep 14, 2006",-0.807
"Sep 30, 2006",-1.075
"Oct 16, 2006",-0.679
"Nov 1, 2006",-1.542
"Nov 17, 2006",-1.489
"Dec 3, 2006",-0.695
"Dec 19, 2006",1.256
"Jan 1, 2007",-1.893
"Jan 17, 2007",0.105
"Feb 2, 2007",-0.829
"Feb 18, 2007",-0.403
"Mar 6, 2007",1.169
"Mar 22, 2007",0.941
"Apr 7, 2007",0.645
"Apr 23, 2007",0.919
"May 9, 2007",-0.276
"May 25, 2007",-0.118
"Jun 10, 2007",-0.539
"Jun 26, 2007",0.191
"Jul 12, 2007",-0.556
"Jul 28, 2007",-0.589
"Aug 13, 2007",0.017
"Aug 29, 2007",0.04
"Sep 14, 2007",-0.598
"Sep 30, 2007",-0.256
"Oct 16, 2007",-0.051
"Nov 1, 2007",0.723
"Nov 17, 2007",-2.009
"Dec 3, 2007",3.312
"Dec 19, 2007",2.845
"Jan 1, 2008",0.198
"Jan 17, 2008",-0.136
"Feb 2, 2008",1.354
"Feb 18, 2008",-0.323
"Mar 5, 2008",2.348
"Mar 21, 2008",-1.998
"Apr 6, 2008",1.622
"Apr 22, 2008",0.593
"May 8, 2008",-1.432
"May 24, 2008",-1.427
"Jun 9, 2008",-0.329
"Jun 25, 2008",-0.946
"Jul 11, 2008",-0.928
"Jul 27, 2008",-0.353
"Aug 12, 2008",-0.838
"Aug 28, 2008",1.111
"Sep 13, 2008",-0.645
"Sep 29, 2008",-0.148
"Oct 15, 2008",-0.005
"Oct 31, 2008",0.108
"Nov 16, 2008",0.172
"Dec 2, 2008",1.509
"Dec 18, 2008",0.702
"Jan 1, 2009",0.278
"Jan 17, 2009",-0.313
"Feb 2, 2009",-0.455
"Feb 18, 2009",-0.379
"Mar 6, 2009",-1.29
"Mar 22, 2009",-0.869
"Apr 7, 2009",-1.157
"Apr 23, 2009",-0.758
"May 9, 2009",1.199
"May 25, 2009",0.335
"Jun 10, 2009",-0.81
"Jun 26, 2009",-0.871
"Jul 12, 2009",-0.483
"Jul 28, 2009",-0.829
"Aug 13, 2009",-0.343
"Aug 29, 2009",0.452
"Sep 14, 2009",-0.524
"Sep 30, 2009",0.77
"Oct 16, 2009",-1.038
"Nov 1, 2009",-0.608
"Nov 17, 2009",0.15
"Dec 3, 2009",-1.063
"Dec 19, 2009",0.009
"Jan 1, 2010",-0.415
"Jan 17, 2010",1.168
"Feb 2, 2010",1.269
"Feb 18, 2010",0.829
"Mar 6, 2010",0.685
"Mar 22, 2010",0.714
"Apr 7, 2010",-0.122
"Apr 23, 2010",-0.116
"May 9, 2010",2.415
"May 25, 2010",1.038
"Jun 10, 2010",-0.37
"Jun 26, 2010",1.441
"Jul 12, 2010",1.691
"Jul 28, 2010",1.038
"Aug 13, 2010",3.614
"Aug 29, 2010",2.508
"Sep 14, 2010",2.25
"Sep 30, 2010",1.053
"Oct 16, 2010",1.129
"Nov 1, 2010",-0.473
"Nov 17, 2010",-0.494
"Dec 3, 2010",-0.236
"Dec 19, 2010",0.094
"Jan 1, 2011",-0.237
"Jan 17, 2011",-0.244
"Feb 2, 2011",-1.518
"Feb 18, 2011",-1.933
"Mar 6, 2011",0.244
"Mar 22, 2011",-0.635
"Apr 7, 2011",-0.07
"Apr 23, 2011",0.104
"May 9, 2011",0.463
"May 25, 2011",-0.852
"Jun 10, 2011",-1.223
"Jun 26, 2011",1.723
"Jul 12, 2011",-1.087
"Jul 28, 2011",-0.838
"Aug 13, 2011",-0.536
