system:time_start,SPI-1
"Jan 1, 1981",-0.784
"Feb 1, 1981",-1.655
"Mar 1, 1981",-0.517
"Apr 1, 1981",0.23
"May 1, 1981",-0.576
"Jun 1, 1981",0.032
"Jul 1, 1981",0.727
"Aug 1, 1981",0.342
"Sep 1, 1981",0.801
"Oct 1, 1981",-0.313
"Nov 1, 1981",-0.072
"Dec 1, 1981",-0.584
"Jan 1, 1982",0.102
"Feb 1, 1982",-0.979
"Mar 1, 1982",0.137
"Apr 1, 1982",0.016
"May 1, 1982",-1.415
"Jun 1, 1982",-0.293
"Jul 1, 1982",-0.46
"Aug 1, 1982",-0.681
"Sep 1, 1982",-0.531
"Oct 1, 1982",-1.005
"Nov 1, 1982",-1.726
"Dec 1, 1982",-0.058
"Jan 1, 1983",-0.923
"Feb 1, 1983",0.84
"Mar 1, 1983",0.906
"Apr 1, 1983",0.617
"May 1, 1983",0.619
"Jun 1, 1983",-0.621
"Jul 1, 1983",0.121
"Aug 1, 1983",-0.228
"Sep 1, 1983",-0.646
"Oct 1, 1983",1.236
"Nov 1, 1983",-0.234
"Dec 1, 1983",-1.084
"Jan 1, 1984",0.475
"Feb 1, 1984",0.006
"Mar 1, 1984",0.436
"Apr 1, 1984",0.308
"May 1, 1984",0.916
"Jun 1, 1984",-0.847
"Jul 1, 1984",0.031
"Aug 1, 1984",1.059
"Sep 1, 1984",0.404
"Oct 1, 1984",-0.088
"Nov 1, 1984",-0.113
"Dec 1, 1984",-0.501
"Jan 1, 1985",0.572
"Feb 1, 1985",-0.742
"Mar 1, 1985",-0.672
"Apr 1, 1985",-0.141
"May 1, 1985",-0.399
"Jun 1, 1985",1.354
"Jul 1, 1985",1.304
"Aug 1, 1985",-0.492
"Sep 1, 1985",0.121
"Oct 1, 1985",0.675
"Nov 1, 1985",-0.947
"Dec 1, 1985",-0.512
"Jan 1, 1986",-1.196
"Feb 1, 1986",-0.732
"Mar 1, 1986",1.001
"Apr 1, 1986",0.321
"May 1, 1986",-1.319
"Jun 1, 1986",0.612
"Jul 1, 1986",0.335
"Aug 1, 1986",0.535
"Sep 1, 1986",0.604
"Oct 1, 1986",0.418
"Nov 1, 1986",0.085
"Dec 1, 1986",-0.459
"Jan 1, 1987",-1.089
"Feb 1, 1987",-0.241
"Mar 1, 1987",-0.106
"Apr 1, 1987",-1.597
"May 1, 1987",0.882
"Jun 1, 1987",-0.311
"Jul 1, 1987",-0.498
"Aug 1, 1987",-0.448
"Sep 1, 1987",-0.318
"Oct 1, 1987",-0.549
"Nov 1, 1987",-0.384
"Dec 1, 1987",-0.979
"Jan 1, 1988",0.432
"Feb 1, 1988",-0.895
"Mar 1, 1988",0.167
"Apr 1, 1988",-1.08
"May 1, 1988",0.471
"Jun 1, 1988",-0.268
"Jul 1, 1988",-0.662
"Aug 1, 1988",-0.265
"Sep 1, 1988",-0.811
"Oct 1, 1988",-0.474
"Nov 1, 1988",-0.94
"Dec 1, 1988",0.34
"Jan 1, 1989",0.663
"Feb 1, 1989",-0.429
"Mar 1, 1989",-0.151
"Apr 1, 1989",0.616
"May 1, 1989",1.391
"Jun 1, 1989",2.535
"Jul 1, 1989",1.492
"Aug 1, 1989",0.437
"Sep 1, 1989",-0.586
"Oct 1, 1989",-0.441
"Nov 1, 1989",-0.03
"Dec 1, 1989",0.448
"Jan 1, 1990",-0.08
"Feb 1, 1990",-1.695
"Mar 1, 1990",-2.582
"Apr 1, 1990",0.131
"May 1, 1990",0.095
"Jun 1, 1990",-0.591
"Jul 1, 1990",-0.094
"Aug 1, 1990",1.147
"Sep 1, 1990",-0.639
"Oct 1, 1990",-0.977
"Nov 1, 1990",-0.589
"Dec 1, 1990",0.979
"Jan 1, 1991",1.314
"Feb 1, 1991",-0.49
"Mar 1, 1991",0.991
"Apr 1, 1991",1.395
"May 1, 1991",-1.457
"Jun 1, 1991",-1.417
"Jul 1, 1991",-0.822
"Aug 1, 1991",-0.792
"Sep 1, 1991",-0.689
"Oct 1, 1991",-1.346
"Nov 1, 1991",0.036
"Dec 1, 1991",0.841
"Jan 1, 1992",-0.504
"Feb 1, 1992",0.161
"Mar 1, 1992",-0.446
"Apr 1, 1992",0.569
"May 1, 1992",2.451
"Jun 1, 1992",-0.305
"Jul 1, 1992",-0.37
"Aug 1, 1992",2.299
"Sep 1, 1992",-0.037
"Oct 1, 1992",0.996
"Nov 1, 1992",0.121
"Dec 1, 1992",1.045
"Jan 1, 1993",-0.149
"Feb 1, 1993",-1.234
"Mar 1, 1993",-0.375
"Apr 1, 1993",0.707
"May 1, 1993",0.142
"Jun 1, 1993",1.085
"Jul 1, 1993",-0.275
"Aug 1, 1993",0.193
"Sep 1, 1993",-0.523
"Oct 1, 1993",-0.59
"Nov 1, 1993",-0.037
"Dec 1, 1993",1.174
"Jan 1, 1994",0.335
"Feb 1, 1994",1.297
"Mar 1, 1994",2.574
"Apr 1, 1994",-1.32
"May 1, 1994",-0.456
"Jun 1, 1994",-1.359
"Jul 1, 1994",-1.051
"Aug 1, 1994",0.15
"Sep 1, 1994",-0.681
"Oct 1, 1994",-1.115
"Nov 1, 1994",-1.497
"Dec 1, 1994",-0.698
"Jan 1, 1995",-0.756
"Feb 1, 1995",-1.778
"Mar 1, 1995",-0.771
"Apr 1, 1995",-0.317
"May 1, 1995",0.045
"Jun 1, 1995",0.977
"Jul 1, 1995",0.281
"Aug 1, 1995",-0.873
"Sep 1, 1995",-0.329
"Oct 1, 1995",0.593
"Nov 1, 1995",-0.329
"Dec 1, 1995",-0.721
"Jan 1, 1996",1.019
"Feb 1, 1996",-0.84
"Mar 1, 1996",-1.637
"Apr 1, 1996",1.325
"May 1, 1996",-0.954
"Jun 1, 1996",-0.051
