system:time_start,1 Month(s) Precipitation Sum
"Jan 1, 1981",199.159
"Feb 1, 1981",183.061
"Mar 1, 1981",282.767
"Apr 1, 1981",331.622
"May 1, 1981",177.215
"Jun 1, 1981",90.896
"Jul 1, 1981",111.242
"Aug 1, 1981",75.769
"Sep 1, 1981",143.154
"Oct 1, 1981",174.578
"Nov 1, 1981",380.201
"Dec 1, 1981",317.301
"Jan 1, 1982",257.304
"Feb 1, 1982",223.173
"Mar 1, 1982",324.047
"Apr 1, 1982",316.596
"May 1, 1982",81.239
"Jun 1, 1982",74.006
"Jul 1, 1982",47.822
"Aug 1, 1982",27.312
"Sep 1, 1982",36.888
"Oct 1, 1982",75.329
"Nov 1, 1982",139.145
"Dec 1, 1982",371.119
"Jan 1, 1983",190.24
"Feb 1, 1983",331.553
"Mar 1, 1983",372.742
"Apr 1, 1983",360.728
"May 1, 1983",314.32
"Jun 1, 1983",57.797
"Jul 1, 1983",79.093
"Aug 1, 1983",48.743
"Sep 1, 1983",27.711
"Oct 1, 1983",395.92
"Nov 1, 1983",356.007
"Dec 1, 1983",264.664
"Jan 1, 1984",281.132
"Feb 1, 1984",297.759
"Mar 1, 1984",345.147
"Apr 1, 1984",311.969
"May 1, 1984",286.583
"Jun 1, 1984",38.889
"Jul 1, 1984",65.387
"Aug 1, 1984",124.131
"Sep 1, 1984",177.949
"Oct 1, 1984",270.734
"Nov 1, 1984",370.145
"Dec 1, 1984",324.854
"Jan 1, 1985",288.027
"Feb 1, 1985",237.167
"Mar 1, 1985",271.73
"Apr 1, 1985",304.396
"May 1, 1985",197.696
"Jun 1, 1985",156.736
"Jul 1, 1985",142.261
"Aug 1, 1985",36.144
"Sep 1, 1985",88.924
"Oct 1, 1985",316.747
"Nov 1, 1985",252.98
"Dec 1, 1985",323.797
"Jan 1, 1986",171.912
"Feb 1, 1986",238.185
"Mar 1, 1986",379.216
"Apr 1, 1986",338.373
"May 1, 1986",92.415
"Jun 1, 1986",119.553
"Jul 1, 1986",90.851
"Aug 1, 1986",83.855
"Sep 1, 1986",127.406
"Oct 1, 1986",279.599
"Nov 1, 1986",402.27
"Dec 1, 1986",329.289
"Jan 1, 1987",178.995
"Feb 1, 1987",267.807
"Mar 1, 1987",308
"Apr 1, 1987",196.726
"May 1, 1987",344.149
"Jun 1, 1987",73.022
"Jul 1, 1987",45.946
"Aug 1, 1987",38.399
"Sep 1, 1987",53.899
"Oct 1, 1987",140.985
"Nov 1, 1987",334.983
"Dec 1, 1987",275.617
"Jan 1, 1988",278.071
"Feb 1, 1988",238.818
"Mar 1, 1988",326.804
"Apr 1, 1988",172.23
"May 1, 1988",233.375
"Jun 1, 1988",69.509
"Jul 1, 1988",30.618
"Aug 1, 1988",48.241
"Sep 1, 1988",31.73
"Oct 1, 1988",211.368
"Nov 1, 1988",263.089
"Dec 1, 1988",413.568
"Jan 1, 1989",292.97
"Feb 1, 1989",255.915
"Mar 1, 1989",305.739
"Apr 1, 1989",361.518
"May 1, 1989",402.047
"Jun 1, 1989",215.233
"Jul 1, 1989",151.891
"Aug 1, 1989",79.846
"Sep 1, 1989",32.548
"Oct 1, 1989",156.18
"Nov 1, 1989",385.484
"Dec 1, 1989",424.077
"Jan 1, 1990",244.936
"Feb 1, 1990",180.795
"Mar 1, 1990",149.848
"Apr 1, 1990",323.225
"May 1, 1990",254.438
"Jun 1, 1990",59.519
"Jul 1, 1990",67.706
"Aug 1, 1990",113.526
"Sep 1, 1990",28.314
"Oct 1, 1990",79.343
"Nov 1, 1990",303.863
"Dec 1, 1990",479.844
"Jan 1, 1991",336.108
"Feb 1, 1991",252.208
"Mar 1, 1991",378.725
"Apr 1, 1991",418.951
"May 1, 1991",76.632
"Jun 1, 1991",18.103
"Jul 1, 1991",28.847
"Aug 1, 1991",22.255
"Sep 1, 1991",24.267
"Oct 1, 1991",26.59
"Nov 1, 1991",395.989
"Dec 1, 1991",466.29
"Jan 1, 1992",217.157
"Feb 1, 1992",307.561
"Mar 1, 1992",282.092
"Apr 1, 1992",338.687
"May 1, 1992",469.247
"Jun 1, 1992",66.89
"Jul 1, 1992",45.074
"Aug 1, 1992",194.799
"Sep 1, 1992",124.908
"Oct 1, 1992",441.497
"Nov 1, 1992",400.478
"Dec 1, 1992",488.806
"Jan 1, 1993",239.13
"Feb 1, 1993",208.571
"Mar 1, 1993",291.337
"Apr 1, 1993",367.068
"May 1, 1993",259.842
"Jun 1, 1993",143.74
"Jul 1, 1993",58.395
"Aug 1, 1993",68.555
"Sep 1, 1993",37.579
"Oct 1, 1993",134.841
"Nov 1, 1993",382.414
"Dec 1, 1993",499.982
"Jan 1, 1994",272.142
"Feb 1, 1994",357.973
"Mar 1, 1994",479.118
"Apr 1, 1994",216.844
"May 1, 1994",190.564
"Jun 1, 1994",20.779
"Jul 1, 1994",16.658
"Aug 1, 1994",66.537
"Sep 1, 1994",24.919
"Oct 1, 1994",59.599
"Nov 1, 1994",171.183
"Dec 1, 1994",304.862
"Jan 1, 1995",201.248
"Feb 1, 1995",175.865
"Mar 1, 1995",265.884
"Apr 1, 1995",291.231
"May 1, 1995",248.951
"Jun 1, 1995",137.958
"Jul 1, 1995",87.409
"Aug 1, 1995",18.53
"Sep 1, 1995",53.087
"Oct 1, 1995",304.373
"Nov 1, 1995",340.804
"Dec 1, 1995",301.647
"Jan 1, 1996",316.92
"Feb 1, 1996",242.36
"Mar 1, 1996",199.24
"Apr 1, 1996",414.748
"May 1, 1996",63.771
"Jun 1, 1996",80.244
"Jul 1, 1996",35.811
"Aug 1, 1996",66.754
"Sep 1, 1996",58.959
"Oct 1, 1996",622.677
"Nov 1, 1996",302.413
"Dec 1, 1996",304.991
"Jan 1, 1997",151.773
"Feb 1, 1997",422.639
"Mar 1, 1997",208.812
"Apr 1, 1997",310.362
"May 1, 1997",159.564
"Jun 1, 1997",22.671
"Jul 1, 1997",37.383
"Aug 1, 1997",21.565
"Sep 1, 1997",17.136
"Oct 1, 1997",32.101
"Nov 1, 1997",302.1
"Dec 1, 1997",306.607
"Jan 1, 1998",101.693
"Feb 1, 1998",303.684
"Mar 1, 1998",320.176
"Apr 1, 1998",221.767
"May 1, 1998",249.852
"Jun 1, 1998",139.713
"Jul 1, 1998",141.495
"Aug 1, 1998",110.163
"Sep 1, 1998",67.543
"Oct 1, 1998",272.49
"Nov 1, 1998",451.769
"Dec 1, 1998",388.278
"Jan 1, 1999",324.896
"Feb 1, 1999",254.373
"Mar 1, 1999",390.936
"Apr 1, 1999",224.718
"May 1, 1999",173.653
"Jun 1, 1999",51.987
"Jul 1, 1999",47.214
"Aug 1, 1999",20.422
"Sep 1, 1999",18.114
"Oct 1, 1999",384.596
"Nov 1, 1999",373.427
"Dec 1, 1999",402.958
"Jan 1, 2000",269.002
"Feb 1, 2000",241.279
"Mar 1, 2000",263.002
"Apr 1, 2000",445.979
"May 1, 2000",339.565
"Jun 1, 2000",115.66
"Jul 1, 2000",51.329
"Aug 1, 2000",49.848
"Sep 1, 2000",64.187
"Oct 1, 2000",299.218
"Nov 1, 2000",610.238
"Dec 1, 2000",221.112
"Jan 1, 2001",376.472
"Feb 1, 2001",269.838
"Mar 1, 2001",366.912
"Apr 1, 2001",423.54
"May 1, 2001",231.721
"Jun 1, 2001",139.543
"Jul 1, 2001",57.94
"Aug 1, 2001",27.591
"Sep 1, 2001",107.285
"Oct 1, 2001",487.818
"Nov 1, 2001",548.012
"Dec 1, 2001",246.045
"Jan 1, 2002",314.454
"Feb 1, 2002",255.008
"Mar 1, 2002",286.851
"Apr 1, 2002",203.779
"May 1, 2002",167.292
"Jun 1, 2002",38.001
"Jul 1, 2002",86.334
"Aug 1, 2002",36.781
"Sep 1, 2002",24.576
"Oct 1, 2002",36.121
"Nov 1, 2002",331.067
"Dec 1, 2002",272.126
"Jan 1, 2003",156.765
"Feb 1, 2003",319.282
"Mar 1, 2003",185.55
"Apr 1, 2003",164.092
"May 1, 2003",130.34
"Jun 1, 2003",15.769
"Jul 1, 2003",17.433
"Aug 1, 2003",44.181
"Sep 1, 2003",79.241
"Oct 1, 2003",304.418
"Nov 1, 2003",425.444
"Dec 1, 2003",310.429
"Jan 1, 2004",310.389
"Feb 1, 2004",281.3
"Mar 1, 2004",364.178
"Apr 1, 2004",317.123
"May 1, 2004",268.47
"Jun 1, 2004",66.93
"Jul 1, 2004",77.771
"Aug 1, 2004",33.022
"Sep 1, 2004",93.912
"Oct 1, 2004",47.359
"Nov 1, 2004",283.786
"Dec 1, 2004",421.677
"Jan 1, 2005",236.049
"Feb 1, 2005",301.766
"Mar 1, 2005",344.709
"Apr 1, 2005",228.256
"May 1, 2005",169.857
"Jun 1, 2005",138.808
"Jul 1, 2005",85.564
"Aug 1, 2005",87.162
"Sep 1, 2005",92.982
"Oct 1, 2005",239.74
"Nov 1, 2005",343.736
"Dec 1, 2005",421.366
"Jan 1, 2006",319.352
"Feb 1, 2006",297.682
"Mar 1, 2006",341.753
"Apr 1, 2006",315.664
"May 1, 2006",279.623
"Jun 1, 2006",51.42
"Jul 1, 2006",32.078
"Aug 1, 2006",17.831
"Sep 1, 2006",16.972
"Oct 1, 2006",80.602
"Nov 1, 2006",157.509
"Dec 1, 2006",377.944
"Jan 1, 2007",164.522
"Feb 1, 2007",276.583
"Mar 1, 2007",359.67
"Apr 1, 2007",447.82
"May 1, 2007",233.301
"Jun 1, 2007",76.206
"Jul 1, 2007",34.508
"Aug 1, 2007",34.956
"Sep 1, 2007",57.98
"Oct 1, 2007",191.278
"Nov 1, 2007",378.878
"Dec 1, 2007",767.758
"Jan 1, 2008",261.387
"Feb 1, 2008",353.309
"Mar 1, 2008",353.185
"Apr 1, 2008",373.973
"May 1, 2008",109.917
"Jun 1, 2008",32.367
"Jul 1, 2008",19.38
"Aug 1, 2008",54.498
"Sep 1, 2008",43.373
"Oct 1, 2008",202.653
"Nov 1, 2008",472.938
"Dec 1, 2008",520.027
"Jan 1, 2009",262.897
"Feb 1, 2009",268.524
"Mar 1, 2009",228.854
"Apr 1, 2009",231.714
"May 1, 2009",312.666
"Jun 1, 2009",118.214
"Jul 1, 2009",30.095
"Aug 1, 2009",18.507
"Sep 1, 2009",80.159
"Oct 1, 2009",176.169
"Nov 1, 2009",389.125
"Dec 1, 2009",264.254
"Jan 1, 2010",276.473
"Feb 1, 2010",355.953
"Mar 1, 2010",426.542
"Apr 1, 2010",288.97
"May 1, 2010",526
"Jun 1, 2010",114.152
"Jul 1, 2010",197.993
"Aug 1, 2010",224.748
"Sep 1, 2010",335.268
"Oct 1, 2010",378.27
"Nov 1, 2010",349.559
"Dec 1, 2010",336.161
"Jan 1, 2011",237.644
"Feb 1, 2011",176.482
"Mar 1, 2011",292.046
"Apr 1, 2011",303.944
"May 1, 2011",276.58
"Jun 1, 2011",72.861
"Jul 1, 2011",41.134
"Aug 1, 2011",17.519
"Sep 1, 2011",28.419
"Oct 1, 2011",133.831
"Nov 1, 2011",499.963
"Dec 1, 2011",422.888
"Jan 1, 2012",204.433
"Feb 1, 2012",237.431
"Mar 1, 2012",245.562
"Apr 1, 2012",318.768
"May 1, 2012",172.607
"Jun 1, 2012",73.546
"Jul 1, 2012",26.499
"Aug 1, 2012",39.232
"Sep 1, 2012",28.583
"Oct 1, 2012",197.687
"Nov 1, 2012",389.384
"Dec 1, 2012",469.724
"Jan 1, 2013",387.035
"Feb 1, 2013",235.174
"Mar 1, 2013",318.363
"Apr 1, 2013",295.228
"May 1, 2013",584.661
"Jun 1, 2013",164.27
"Jul 1, 2013",199.022
"Aug 1, 2013",30.597
