"system:time_start","SPI-1","1-month precip"
"Jan 1, 1981","-0.784","199.159"
"Feb 1, 1981","-1.655","183.061"
"Mar 1, 1981","-0.517","282.767"
"Apr 1, 1981","0.23","331.622"
"May 1, 1981","-0.576","177.215"
"Jun 1, 1981","0.032","90.896"
"Jul 1, 1981","0.727","111.242"
"Aug 1, 1981","0.342","75.769"
"Sep 1, 1981","0.801","143.154"
"Oct 1, 1981","-0.313","174.578"
"Nov 1, 1981","-0.072","380.201"
"Dec 1, 1981","-0.584","317.301"
"Jan 1, 1982","0.102","257.304"
"Feb 1, 1982","-0.979","223.173"
"Mar 1, 1982","0.137","324.047"
"Apr 1, 1982","0.016","316.596"
"May 1, 1982","-1.415","81.239"
"Jun 1, 1982","-0.293","74.006"
"Jul 1, 1982","-0.46","47.822"
"Aug 1, 1982","-0.681","27.312"
"Sep 1, 1982","-0.531","36.888"
"Oct 1, 1982","-1.005","75.329"
"Nov 1, 1982","-1.726","139.145"
"Dec 1, 1982","-0.058","371.119"
"Jan 1, 1983","-0.923","190.24"
"Feb 1, 1983","0.84","331.553"
"Mar 1, 1983","0.906","372.742"
"Apr 1, 1983","0.617","360.728"
"May 1, 1983","0.619","314.32"
"Jun 1, 1983","-0.621","57.797"
"Jul 1, 1983","0.121","79.093"
"Aug 1, 1983","-0.228","48.743"
"Sep 1, 1983","-0.646","27.711"
"Oct 1, 1983","1.236","395.92"
"Nov 1, 1983","-0.234","356.007"
"Dec 1, 1983","-1.084","264.664"
"Jan 1, 1984","0.475","281.132"
"Feb 1, 1984","0.006","297.759"
"Mar 1, 1984","0.436","345.147"
"Apr 1, 1984","0.308","311.969"
"May 1, 1984","0.916","286.583"
"Jun 1, 1984","-0.847","38.889"
"Jul 1, 1984","0.031","65.387"
"Aug 1, 1984","1.059","124.131"
"Sep 1, 1984","0.404","177.949"
"Oct 1, 1984","-0.088","270.734"
"Nov 1, 1984","-0.113","370.145"
"Dec 1, 1984","-0.501","324.854"
"Jan 1, 1985","0.572","288.027"
"Feb 1, 1985","-0.742","237.167"
"Mar 1, 1985","-0.672","271.73"
"Apr 1, 1985","-0.141","304.396"
"May 1, 1985","-0.399","197.696"
"Jun 1, 1985","1.354","156.736"
"Jul 1, 1985","1.304","142.261"
"Aug 1, 1985","-0.492","36.144"
"Sep 1, 1985","0.121","88.924"
"Oct 1, 1985","0.675","316.747"
"Nov 1, 1985","-0.947","252.98"
"Dec 1, 1985","-0.512","323.797"
"Jan 1, 1986","-1.196","171.912"
"Feb 1, 1986","-0.732","238.185"
"Mar 1, 1986","1.001","379.216"
"Apr 1, 1986","0.321","338.373"
"May 1, 1986","-1.319","92.415"
"Jun 1, 1986","0.612","119.553"
"Jul 1, 1986","0.335","90.851"
"Aug 1, 1986","0.535","83.855"
"Sep 1, 1986","0.604","127.406"
"Oct 1, 1986","0.418","279.599"
"Nov 1, 1986","0.085","402.27"
"Dec 1, 1986","-0.459","329.289"
"Jan 1, 1987","-1.089","178.995"
"Feb 1, 1987","-0.241","267.807"
"Mar 1, 1987","-0.106","308"
"Apr 1, 1987","-1.597","196.726"
"May 1, 1987","0.882","344.149"
"Jun 1, 1987","-0.311","73.022"
"Jul 1, 1987","-0.498","45.946"
"Aug 1, 1987","-0.448","38.399"
"Sep 1, 1987","-0.318","53.899"
"Oct 1, 1987","-0.549","140.985"
"Nov 1, 1987","-0.384","334.983"
"Dec 1, 1987","-0.979","275.617"
"Jan 1, 1988","0.432","278.071"
"Feb 1, 1988","-0.895","238.818"
"Mar 1, 1988","0.167","326.804"
"Apr 1, 1988","-1.08","172.23"
"May 1, 1988","0.471","233.375"
"Jun 1, 1988","-0.268","69.509"
"Jul 1, 1988","-0.662","30.618"
"Aug 1, 1988","-0.265","48.241"
"Sep 1, 1988","-0.811","31.73"
"Oct 1, 1988","-0.474","211.368"
"Nov 1, 1988","-0.94","263.089"
